lens_id,doc_key,residence,extracted_name,extracted_address,nimi,id
027-767-044-397-411,CN_211571234_U_20200925,,SHANGHAI LANGTIAN ENVIRONMENTAL TECH CO LTD,,SHANGHAI LANGTIAN ENVIRONMENTAL TECH CO LTD,
028-512-727-068-117,AU_2020101460_A4_20200827,CN,SHANGHAI JIUDING GREENING CONCRETE CO LTD,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,
028-594-501-062-531,AU_2021100664_A4_20210422,IN,ARAVIND RAJ P S DR,,ARAVIND RAJ P S DR,
028-594-501-062-531,AU_2021100664_A4_20210422,IN,JOANNA P S,,JOANNA P S,
028-732-522-540-814,US_20200406503_A1_20201231,CN,NANJING CHERVON IND CO LTD,,NANJING CHERVON IND CO LTD,
028-962-005-132-242,US_20140241979_A1_20140828,BE,RECMIX BELGIUM,,RECMIX BELGIUM,
028-993-262-248-010,US_20180127989_A1_20180510,US,SCHLUTER SYSTEMS LP,,SCHLUTER SYSTEMS LP,
029-225-086-357-676,CN_216194825_U_20220405,,SHANGHAI JIUDING GREEN CONCRETE CO LTD,,SHANGHAI JIUDING GREEN CONCRETE CO LTD,
029-349-577-149-278,US_20160168030_A1_20160616,CH,SIKA TECHNOLOGY AG,,SIKA TECHNOLOGY AG,
029-519-602-087-750,CN_114703802_A_20220705,,UNIV YANGZHOU,,UNIV YANGZHOU,
029-836-658-671-816,CA_2723063_C_20170613,US,L M SCOFIELD COMPANY,,L M SCOFIELD COMPANY,
029-836-658-671-816,CA_2723063_C_20170613,US,ARNOLD PHILLIP J,,ARNOLD PHILLIP J,
030-244-744-213-973,CN_210552044_U_20200519,,BINYANG JIANFENG CONCRETE CO LTD,,BINYANG JIANFENG CONCRETE CO LTD,
031-021-008-568-328,CN_108275936_A_20180713,,SHANGHAI GUOTONG ENVIRONMENTAL PROT EQUIPMENT CO LTD,,SHANGHAI GUOTONG ENVIRONMENTAL PROT EQUIPMENT CO LTD,
034-533-108-792-085,ES_2895755_A1_20220222,ES,UNIV BURGOS,,UNIV BURGOS,
034-533-108-792-085,ES_2895755_A1_20220222,ES,UNIV DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA,,UNIV DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA,
034-749-125-448-043,CN_108424105_A_20180821,,YANCHENG KAILITE COMMERCIAL CONCRETE CO LTD,,YANCHENG KAILITE COMMERCIAL CONCRETE CO LTD,
035-675-434-234-02X,CN_104370505_A_20150225,,SHANXI HUATONG LANTIAN ENVIRONMENTAL PROT CO LTD,,SHANXI HUATONG LANTIAN ENVIRONMENTAL PROT CO LTD,
035-743-714-175-564,US_20190092685_A1_20190328,HK,NANO & ADVANCED MATERIALS INST LTD,,NANO & ADVANCED MATERIALS INST LTD,
035-878-258-880-611,CN_103359972_A_20131023,,SHANGHAI SUNRISE POLYMER MATERIALS CO LTD,,SHANGHAI SUNRISE POLYMER MATERIALS CO LTD,
035-967-806-107-633,KR_20150064632_A_20150611,KR,PARK JONG WON,,PARK JONG WON,
036-288-010-883-276,AU_2020102116_A4_20201015,IN,GUPTA RAMESH CHANDRA PROF,,GUPTA RAMESH CHANDRA PROF,
036-288-010-883-276,AU_2020102116_A4_20201015,IN,KUMAR SATHISH DR,,KUMAR SATHISH DR,
036-288-010-883-276,AU_2020102116_A4_20201015,CN,THOMAS BLESSEN SKARIAH DR,,THOMAS BLESSEN SKARIAH DR,
036-288-010-883-276,AU_2020102116_A4_20201015,CN,YANG JIAN PROF,,YANG JIAN PROF,
036-440-574-604-299,IN_3349MU2013_A_20150717,IN,PARUL AROGYA SEVA MANDAL,"P.O. LIMDA, TA: WAGHODIA, DIST: VADODARA. PIN-391760, GUJARAT, INDIA",PARUL AROGYA SEVA MANDAL,
036-734-536-707-565,CN_115745504_A_20230307,,UNIV WUHAN,,UNIV WUHAN,
037-275-512-107-334,CN_109896803_A_20190618,,SHANDONG HI SPEED GAOGUANG ROAD CO LTD,,SHANDONG HI SPEED GAOGUANG ROAD CO LTD,
037-275-512-107-334,CN_109896803_A_20190618,,ZHANGJIAGANG IND TECH RES INST JIANGSU UNIV SCIENCE & TECHNOLOGY,,ZHANGJIAGANG IND TECH RES INST JIANGSU UNIV SCIENCE & TECHNOLOGY,
037-347-668-114-346,CN_111501478_A_20200807,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,
037-610-974-950-882,CN_214293759_U_20210928,,NINGBO YONGSHENG BUILDING TECH CO LTD,,NINGBO YONGSHENG BUILDING TECH CO LTD,
037-665-591-799-773,US_20150068430_A1_20150312,US,NAVS LLC,,NAVS LLC,
037-871-441-390-443,KR_101646105_B1_20160809,KR,CHO LI CONCRETE CO LTD,,CHO LI CONCRETE CO LTD,
037-949-522-444-535,GR_1008419_B_20150205,GR,SKAROPOULOU ARTEMIS GEORGIOU,,SKAROPOULOU ARTEMIS GEORGIOU,
038-072-713-106-326,US_9663362_B2_20170530,BE,RECMIX BELGIUM,,RECMIX BELGIUM,
038-352-364-280-874,US_20140044879_A1_20140213,US,LEAMAN MICHAEL RAY,,LEAMAN MICHAEL RAY,
038-352-364-280-874,US_20140044879_A1_20140213,US,UNISEAL SOLUTIONS INC,,UNISEAL SOLUTIONS INC,
038-382-768-003-803,CN_115321899_A_20221111,,TIANJIN JINYU CONCRETE CO LTD,,TIANJIN JINYU CONCRETE CO LTD,
038-760-796-859-065,CN_214561863_U_20211102,,HANGZHOU DINGCHANG CONCRETE CO LTD,,HANGZHOU DINGCHANG CONCRETE CO LTD,
038-880-334-805-480,CN_218263723_U_20230110,,SHANGHAI WATERWAY ENG DESIGN AND CONSULTING CO LTD,,SHANGHAI WATERWAY ENG DESIGN AND CONSULTING CO LTD,
039-027-429-483-347,EP_1532081_B1_20180124,US,AL-RASHED RADI,,AL-RASHED RADI,
039-028-880-388-437,CN_105801038_A_20160727,,UNIV NORTH CHINA WATER RESOURCES & ELECTRIC POWER,,UNIV NORTH CHINA WATER RESOURCES & ELECTRIC POWER,
039-349-595-272-539,CN_109665779_A_20190423,,CHESE SOC FOR URBAN STUDIES,,CHESE SOC FOR URBAN STUDIES,
039-655-358-854-75X,CN_103553416_A_20140205,,UNIV TONGJI,,UNIV TONGJI,
040-287-792-142-076,WO_2019101809_A1_20190531,CH,HOLCIM TECHNOLOGY LTD,,HOLCIM TECHNOLOGY LTD,
040-287-792-142-076,WO_2019101809_A1_20190531,US,SOLIDIA TECHNOLOGIES INC,,SOLIDIA TECHNOLOGIES INC,
041-022-386-262-155,ZA_202101674_B_20211027,CN,UNIV QINGDAO AGRICULTURAL,,UNIV QINGDAO AGRICULTURAL,
041-535-918-517-985,CN_215842765_U_20220218,,SANYA FENGJING BUILDING MATERIAL TECH CO LTD,,SANYA FENGJING BUILDING MATERIAL TECH CO LTD,
041-807-666-135-150,CN_109604026_A_20190412,,CHINA ROAD & BRIDGE CORP,,CHINA ROAD & BRIDGE CORP,
041-807-666-135-150,CN_109604026_A_20190412,,CHINA ACADEMY OF BUILDING RES LTD,,CHINA ACADEMY OF BUILDING RES LTD,
042-082-896-110-38X,WO_2020180931_A1_20200910,US,VICONIC SPORTING LLC,,VICONIC SPORTING LLC,
042-223-104-982-777,JP_2022032512_A_20220225,,NAKAMURA BUSSAN KK,,NAKAMURA BUSSAN KK,
042-548-805-383-270,CN_213233500_U_20210518,,LUOYANG YUTIANYUAN CONCRETE CO LTD,,LUOYANG YUTIANYUAN CONCRETE CO LTD,
042-729-918-830-092,CN_113071004_A_20210706,,MAO JUN,,MAO JUN,
043-491-851-672-50X,CN_209937307_U_20200114,,JIANGSU ZHONGTONG NEW MATERIAL TECH CO LTD,,JIANGSU ZHONGTONG NEW MATERIAL TECH CO LTD,
043-580-033-730-901,WO_2018111107_A1_20180621,NL,LAUKA HOLDING B V,,LAUKA HOLDING B V,
043-599-366-596-368,US_10982451_B2_20210420,US,VICONIC SPORTING LLC,,VICONIC SPORTING LLC,
043-725-868-215-697,CN_110202666_A_20190906,,DALI XUCHENG BUILDING MAT DEVELOPMENT CO LTD,,DALI XUCHENG BUILDING MAT DEVELOPMENT CO LTD,
043-801-349-344-886,CN_204139178_U_20150204,,QINGDAO RUNGUO SCIENCE AND TECHNOLOGY DEV CO LTD,,QINGDAO RUNGUO SCIENCE AND TECHNOLOGY DEV CO LTD,
043-950-332-222-70X,NL_2032811_B1_20230328,CN,YUNNAN RES ACADEMY OF ECO ENVIRONMENTAL SCIENCES,Kunming 650034 CN,YUNNAN RES ACADEMY OF ECO ENVIRONMENTAL SCIENCES,
044-390-264-766-126,CN_105108905_A_20151202,,JIA JINQING,,JIA JINQING,
044-444-151-837-099,EP_3954668_A1_20220216,DE,HEIDELBERGCEMENT AG,,HEIDELBERGCEMENT AG,
044-756-774-313-905,CN_110130368_A_20190816,,NANJING R & D TECH GROUP CO LTD,,NANJING R & D TECH GROUP CO LTD,
044-756-774-313-905,CN_110130368_A_20190816,,NANJING HYDRAULIC RES INST,,NANJING HYDRAULIC RES INST,
044-901-561-675-791,MX_2021003642_A_20210527,CH,SIKA TECH AG,,SIKA TECH AG,
045-284-347-096-460,CN_114835455_A_20220802,,CHINA WEST CONSTRUCTION GROUP BEIFANG CO LTD,,CHINA WEST CONSTRUCTION GROUP BEIFANG CO LTD,
045-284-347-096-460,CN_114835455_A_20220802,,CHINA WEST CONSTR GROUP CO LTD,,CHINA WEST CONSTR GROUP CO LTD,
045-366-008-667-379,CN_203723050_U_20140723,,HONGXIANG NEW GEO MATERIAL CO LTD,,HONGXIANG NEW GEO MATERIAL CO LTD,
045-595-271-715-293,CN_216954789_U_20220712,,HAINAN XINHAIDAO NEW MAT CO LTD,,HAINAN XINHAIDAO NEW MAT CO LTD,
045-619-742-578-971,CN_216360213_U_20220422,,WENZHOU CHANGSHU CONCRETE CO LTD,,WENZHOU CHANGSHU CONCRETE CO LTD,
046-030-719-489-908,CN_112707687_A_20210427,,UNIV CHINA MINING,,UNIV CHINA MINING,
046-030-719-489-908,CN_112707687_A_20210427,,JIANGSU VOCATIONAL INST ARCHITECTURAL TECH,,JIANGSU VOCATIONAL INST ARCHITECTURAL TECH,
046-326-482-195-76X,CN_209798666_U_20191217,,SHANGHAI LANGTIAN ENVIRONMENTAL TECH CO LTD,,SHANGHAI LANGTIAN ENVIRONMENTAL TECH CO LTD,
046-943-231-442-168,CN_216206920_U_20220405,,ANHUI WATERLAND CONSTRUCTION PROJECT LTD COMPANY,,ANHUI WATERLAND CONSTRUCTION PROJECT LTD COMPANY,
047-178-454-218-957,WO_2023014289_A2_20230209,SG,KEPPEL FELS LTD,,KEPPEL FELS LTD,
047-178-454-218-957,WO_2023014289_A2_20230209,SG,KEPPEL LAND LTD,,KEPPEL LAND LTD,
047-318-993-576-659,CN_112500079_A_20210316,,TAIZHOU DONGBU BUILDING MATERIAL TECH CO LTD,,TAIZHOU DONGBU BUILDING MATERIAL TECH CO LTD,
047-586-259-819-709,CN_208668399_U_20190329,,TANGSHI JIANHUA CONSTRUCTION MAT SHANGHAI CO LTD,,TANGSHI JIANHUA CONSTRUCTION MAT SHANGHAI CO LTD,
047-932-344-638-717,CN_105200980_A_20151230,,SHANGHAI TONGCHI JIANHUA CONCRETE PILE CO LTD,,SHANGHAI TONGCHI JIANHUA CONCRETE PILE CO LTD,
048-257-936-239-234,CN_218535119_U_20230228,,HUBEI HENGJIANXIANG NEW BUILDING MAT CO LTD,,HUBEI HENGJIANXIANG NEW BUILDING MAT CO LTD,
048-307-922-939-187,CN_108323380_A_20180727,,KELIER ENVIRONMENTAL PROTECTION TECH CO LTD,,KELIER ENVIRONMENTAL PROTECTION TECH CO LTD,
048-486-223-725-004,CN_216860096_U_20220701,,SHANDONG SCIENCE AND TECHNOLOGY UNIV,,SHANDONG SCIENCE AND TECHNOLOGY UNIV,
049-630-929-139-04X,CN_109320174_A_20190212,,UNIV QUANZHOU NORMAL,,UNIV QUANZHOU NORMAL,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,ARAVIND RAJ P S DR,,ARAVIND RAJ P S DR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,ARVINDAN S ENGR,,ARVINDAN S ENGR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,DIVAHAR R DR,,DIVAHAR R DR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,GAJALAKSHMI P DR,,GAJALAKSHMI P DR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,KUMAR P DINESH ENGR,,KUMAR P DINESH ENGR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,PARTHIBAN D ENGR,,PARTHIBAN D ENGR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,REVATHY J DR,,REVATHY J DR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,ROSE A LEEMA DR,,ROSE A LEEMA DR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,SANGEETHA S P DR,,SANGEETHA S P DR,
049-688-379-304-910,AU_2020104412_A4_20210415,IN,VIJAYAN D S DR,,VIJAYAN D S DR,
049-984-434-738-540,CN_212507444_U_20210209,,HEBEI ZHAOXIAN NEW BUILDING MATERIAL TECH CO LTD,,HEBEI ZHAOXIAN NEW BUILDING MATERIAL TECH CO LTD,
050-048-025-370-208,MX_2016011458_A_20180305,MX,CENTRO DE INVESTIG Y DE ESTUDIOS AVANZADOS DEL I P N,,CENTRO DE INVESTIG Y DE ESTUDIOS AVANZADOS DEL I P N,
050-813-649-419-175,US_10221097_B1_20190305,SA,UNIV IMAM ABDULRAHMAN BIN FAISAL,,UNIV IMAM ABDULRAHMAN BIN FAISAL,
051-017-765-931-319,CN_216239400_U_20220408,,SHANGHAI JIUDING GREEN CONCRETE CO LTD,,SHANGHAI JIUDING GREEN CONCRETE CO LTD,
051-023-881-548-633,CN_206308884_U_20170707,,UNIV GUANGXI,,UNIV GUANGXI,
051-142-408-779-438,US_10328508_B2_20190625,US,ROUGHNECK L L C,,ROUGHNECK L L C,
051-402-248-198-922,CN_111962468_A_20201120,,DENG CHUN,,DENG CHUN,
052-025-451-378-174,CN_216539572_U_20220517,,ANHUI WATERLAND CONSTRUCTION PROJECT LTD COMPANY,,ANHUI WATERLAND CONSTRUCTION PROJECT LTD COMPANY,
052-187-026-219-414,CN_212001165_U_20201124,,WUYUAN SHANGHAI ENVIRONMENT ENGINEERING TECH CO LTD,,WUYUAN SHANGHAI ENVIRONMENT ENGINEERING TECH CO LTD,
052-278-625-858-748,US_10800704_B2_20201013,US,UNIV SOUTH CAROLINA,,UNIV SOUTH CAROLINA,
053-562-781-172-064,US_20220275654_A1_20220901,US,VICONIC SPORTING LLC,,VICONIC SPORTING LLC,
053-698-057-193-342,CN_209277097_U_20190820,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,
054-473-805-543-811,US_20150375431_A1_20151231,GB,ECONOVATE LTD,,ECONOVATE LTD,
054-919-987-248-816,CN_115466071_A_20221213,,SHAOXING ZHONGFU NEW BUILDING MAT CO LTD,,SHAOXING ZHONGFU NEW BUILDING MAT CO LTD,
055-043-824-032-01X,CN_216329147_U_20220419,,HUBEI CITY CLAY BUILDING MAT CO LTD,,HUBEI CITY CLAY BUILDING MAT CO LTD,
055-629-114-112-523,CN_210315595_U_20200414,,NANJING R & D TECH GROUP CO LTD,,NANJING R & D TECH GROUP CO LTD,
055-629-114-112-523,CN_210315595_U_20200414,,NANJING HYDRAULIC RES INST,,NANJING HYDRAULIC RES INST,
055-797-673-038-000,WO_2023080881_A1_20230511,TR,T C ERCIYES UENIVERSITESI,,T C ERCIYES UENIVERSITESI,
056-739-821-129-416,EP_2794941_B1_20190904,BE,ORBIX PRODUCTIONS,,ORBIX PRODUCTIONS,
057-311-315-675-210,CN_108249849_A_20180706,,YUNNAN COMMUNICATIONS INVEST GROUP ROAD CONSTRUCTION CO LTD,,YUNNAN COMMUNICATIONS INVEST GROUP ROAD CONSTRUCTION CO LTD,
057-311-315-675-210,CN_108249849_A_20180706,,CHINA ACADEMY OF BUILDING RES,,CHINA ACADEMY OF BUILDING RES,
057-344-131-150-306,EP_3466901_A1_20190410,DE,HEIDELBERGCEMENT AG,,HEIDELBERGCEMENT AG,
057-885-675-172-193,RU_2530954_C2_20141020,FI,EHLEMATIK OJ AB,,EHLEMATIK OJ AB,
058-785-055-993-474,US_10577248_B2_20200303,US,HARPER BIOTECH LLC,,HARPER BIOTECH LLC,
060-055-585-869-224,US_20180238064_A1_20180823,IT,PONTAROLO ENG S P A,,PONTAROLO ENG S P A,
060-769-477-354-164,WO_2022096894_A1_20220512,GB,MJT RECYCLING LTD,,MJT RECYCLING LTD,
060-948-853-655-395,CN_207812815_U_20180904,,CHANGSHA ZICHEN TECH DEVELOPMENT CO LTD,,CHANGSHA ZICHEN TECH DEVELOPMENT CO LTD,
062-655-645-974-096,US_11124455_B2_20210921,SA,UNIV KING FAHD PET & MINERALS,,UNIV KING FAHD PET & MINERALS,
062-886-263-276-194,US_20220290443_A1_20220915,US,SHAW CRAFTSMEN CONCRETE LLC,,SHAW CRAFTSMEN CONCRETE LLC,
